"old_names","year","num"
"Dorla",1912,"0"
"Dorla",1913,"0"
"Dorla",1914,"0"
"Dorla",1915,"0"
"Dorla",1916,"0"
"Dorla",1917,"0"
"Dorla",1918,"0"
"Dorla",1919,"0"
"Dorla",1920,"0"
"Dorla",1921,"0"
"Dorla",1922,"0"
"Dorla",1923,"6"
"Dorla",1924,"6"
"Dorla",1925,"0"
"Dorla",1926,"0"
"Dorla",1927,"6"
"Dorla",1928,"12"
"Dorla",1929,"108"
"Dorla",1930,"171"
"Dorla",1931,"84"
"Dorla",1932,"69"
"Dorla",1933,"54"
"Dorla",1934,"58"
"Dorla",1935,"39"
"Dorla",1936,"52"
"Dorla",1937,"28"
"Dorla",1938,"20"
"Dorla",1939,"15"
"Dorla",1940,"23"
"Dorla",1941,"16"
"Dorla",1942,"13"
"Dorla",1943,"17"
"Dorla",1944,"14"
"Dorla",1945,"7"
"Dorla",1946,"0"
"Dorla",1947,"11"
"Dorla",1948,"16"
"Dorla",1949,"12"
"Dorla",1950,"15"
"Dorla",1951,"12"
"Dorla",1952,"13"
"Dorla",1953,"19"
"Dorla",1954,"6"
"Dorla",1955,"9"
"Dorla",1956,"11"
"Dorla",1957,"19"
"Dorla",1958,"16"
"Dorla",1959,"13"
"Dorla",1960,"14"
"Dorla",1961,"14"
"Dorla",1962,"13"
"Dorla",1963,"15"
"Dorla",1964,"0"
"Dorla",1965,"8"
"Dorla",1966,"9"
"Dorla",1967,"9"
"Dorla",1968,"6"
"Dorla",1969,"6"
"Dorla",1970,"5"
"Dorla",1971,"0"
"Dorla",1972,"0"
"Dorla",1973,"0"
"Dorla",1974,"0"
"Dorla",1975,"0"
"Dorla",1976,"0"
"Dorla",1977,"0"
"Dorla",1978,"0"
"Dorla",1979,"0"
"Dorla",1980,"0"
"Dorla",1981,"0"
"Dorla",1982,"0"
"Dorla",1983,"0"
"Dorla",1984,"0"
"Dorla",1985,"0"
"Dorla",1986,"0"
"Dorla",1987,"0"
"Dorla",1988,"0"
"Dorla",1989,"0"
"Dorla",1990,"0"
"Dorla",1991,"0"
"Dorla",1992,"0"
"Dorla",1993,"0"
"Dorla",1994,"0"
"Dorla",1995,"0"
"Dorla",1996,"0"
"Dorla",1997,"0"
"Dorla",1998,"0"
"Dorla",1999,"0"
"Dorla",2000,"0"
"Dorla",2001,"0"
"Dorla",2002,"0"
"Dorla",2003,"0"
"Dorla",2004,"0"
"Dorla",2005,"0"
"Dorla",2006,"0"
"Dorla",2007,"0"
"Dorla",2008,"0"
"Dorla",2009,"0"
"Dorla",2010,"0"
"Dorla",2011,"0"
"Dorla",2012,"0"
"Dorla",2013,"0"
"Dorla",2014,"0"
"Dorla",2015,"0"
"Dorla",2016,"0"
"Dorla",2017,"0"
"Dorla",2018,"0"
"Dorla",2019,"0"
"Dorla",2020,"0"
"Dorla",2021,"0"
"Dorla",2022,"0"
"Dorla",2023,"0"
"Dorla",2024,"0"
"Dorla",2025,"0"
"Dorotha",1880,"0"
"Dorotha",1881,"0"
"Dorotha",1882,"0"
"Dorotha",1883,"0"
"Dorotha",1884,"0"
"Dorotha",1885,"6"
"Dorotha",1886,"0"
"Dorotha",1887,"0"
"Dorotha",1888,"0"
"Dorotha",1889,"0"
"Dorotha",1890,"0"
"Dorotha",1891,"0"
"Dorotha",1892,"5"
"Dorotha",1893,"6"
"Dorotha",1894,"0"
"Dorotha",1895,"7"
"Dorotha",1896,"0"
"Dorotha",1897,"5"
"Dorotha",1898,"8"
"Dorotha",1899,"7"
"Dorotha",1900,"8"
"Dorotha",1901,"12"
"Dorotha",1902,"13"
"Dorotha",1903,"21"
"Dorotha",1904,"28"
"Dorotha",1905,"24"
"Dorotha",1906,"31"
"Dorotha",1907,"43"
"Dorotha",1908,"47"
"Dorotha",1909,"46"
"Dorotha",1910,"64"
"Dorotha",1911,"64"
"Dorotha",1912,"102"
"Dorotha",1913,"90"
"Dorotha",1914,"100"
"Dorotha",1915,"165"
"Dorotha",1916,"181"
"Dorotha",1917,"180"
"Dorotha",1918,"163"
"Dorotha",1919,"154"
"Dorotha",1920,"168"
"Dorotha",1921,"197"
"Dorotha",1922,"191"
"Dorotha",1923,"189"
"Dorotha",1924,"192"
"Dorotha",1925,"186"
"Dorotha",1926,"182"
"Dorotha",1927,"178"
"Dorotha",1928,"155"
"Dorotha",1929,"129"
"Dorotha",1930,"128"
"Dorotha",1931,"115"
"Dorotha",1932,"95"
"Dorotha",1933,"89"
"Dorotha",1934,"91"
"Dorotha",1935,"72"
"Dorotha",1936,"71"
"Dorotha",1937,"77"
"Dorotha",1938,"45"
"Dorotha",1939,"49"
"Dorotha",1940,"39"
"Dorotha",1941,"45"
"Dorotha",1942,"50"
"Dorotha",1943,"52"
"Dorotha",1944,"27"
"Dorotha",1945,"37"
"Dorotha",1946,"32"
"Dorotha",1947,"27"
