"first_name","year","proportion"
"Margaret",1909,"1.44515906921427789000"
"Mary",1909,"3.78288186783093125500"
"William",1909,"1.55470009232743376700"
"James",1909,"1.49582179240411248300"
"George",1909,"0.92425238251725271100"
"Helen",1909,"1.81642489397993834400"
"Charles",1909,"0.79378119963069026500"
"John",1909,"1.88899582179240411200"
"Anna",1909,"1.14000907625620080400"
"Anna",1910,"1.09308951416174745300"
"Helen",1910,"1.77904254364655474500"
"James",1910,"1.56709456908708319300"
"George",1910,"0.93091207036943615400"
"Charles",1910,"0.81528869447157747200"
"John",1910,"1.95323940133161562900"
"Robert",1910,"0.95444303559608675000"
"Margaret",1910,"1.39780704947089185700"
"Mary",1910,"3.88464071263274257600"
"William",1910,"1.50344246171139525100"
"William",1911,"1.65192408878762151200"
"George",1911,"1.03014377311692605200"
"Anna",1911,"1.05125264054858221400"
"Helen",1911,"1.83879965046198929300"
"James",1911,"1.55538206273989995000"
"John",1911,"2.09753848876030415400"
"Charles",1911,"0.89479868193748360600"
"Robert",1911,"1.01896849035899043700"
"Mary",1911,"3.80083783578232411700"
"Margaret",1911,"1.44456050872370510300"
"Robert",1912,"1.30558740806488668200"
"Mary",1912,"3.28137635226974852800"
"Margaret",1912,"1.27340316033119412700"
"William",1912,"1.99420885957445947200"
"George",1912,"1.19456187421626802400"
"Anna",1912,"0.87190973026968982700"
"Helen",1912,"1.63663984308661104900"
"Charles",1912,"1.12715712896268550200"
"James",1912,"1.79391758201163693300"
"John",1912,"2.49984565730253496500"
"Anna",1913,"0.85462118067525450400"
"George",1913,"1.22688002589014978300"
"Charles",1913,"1.16435320355426730200"
"Helen",1913,"1.66553514517479368800"
"James",1913,"1.84036400987765497200"
"John",1913,"2.58998234122935999300"
"Robert",1913,"1.38561548906352232700"
"Margaret",1913,"1.27727084051527026400"
"Mary",1913,"3.23345457615432780600"
"William",1913,"2.07824734942556230200"
"William",1914,"2.10754033450936672800"
"John",1914,"2.69115602647098901900"
"Anna",1914,"0.84054498098271393300"
"James",1914,"1.86176653536608010900"
"Charles",1914,"1.20112147975455098100"
"George",1914,"1.25033272307626048200"
"Helen",1914,"1.64331662598678427500"
"Margaret",1914,"1.25739315970778264900"
"Mary",1914,"3.21059234945207481500"
"Robert",1914,"1.50161366279213439100"
"Mary",1915,"3.18408318585133268600"
"Margaret",1915,"1.26100521330454091800"
"Robert",1915,"1.57457841431063829600"
"William",1915,"2.11151658428957879400"
"John",1915,"2.60725256722368749200"
"Anna",1915,"0.82677236255523412400"
"Helen",1915,"1.68770706827611686600"
"Charles",1915,"1.20392244820666798700"
"James",1915,"1.85153351265834873600"
"George",1915,"1.22493283497787360700"
"John",1916,"2.59871981902529655000"
"George",1916,"1.21566531259595929300"
"Charles",1916,"1.22698657061001419600"
"Anna",1916,"0.78902447976493139500"
"Helen",1916,"1.69270900644846449600"
"James",1916,"1.84732947548973487600"
"Robert",1916,"1.64716549818187833600"
"Margaret",1916,"1.29274291852726458800"
"Mary",1916,"3.18453030220004611200"
"William",1916,"2.09644884704101603900"
"William",1917,"2.12218867431851218100"
"James",1917,"1.86964089679376942500"
"John",1917,"2.59648815073534358300"
